question_id,scene_id,image_path,question_type,question,choice_a,choice_b,choice_c,choice_d,answer_label,difficulty,visibility,layout_family,ood_axis,trace_target_zone,trace_clog_location,trace_gate_state,trace_bubble_position,trace_satellite_side,trace_fluorescent_count
raw_q_6ab57f84c339ad,raw_mf_00000,images/raw_mf_00000.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,A,hard,crowded,standard,dense_debris,inlet,none,junction,none,both,1
raw_q_c97559ec8f413d,raw_mf_00000,images/raw_mf_00000.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,D,hard,crowded,standard,dense_debris,inlet,none,junction,none,both,1
raw_q_247d1a35901e5c,raw_mf_00000,images/raw_mf_00000.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,A,hard,crowded,standard,dense_debris,inlet,none,junction,none,both,1
raw_q_7c90b5e4d07112,raw_mf_00001,images/raw_mf_00001.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,D,medium,clear,standard,dim_fluorescence,center,junction,junction,lower,downstream,3
raw_q_75baec47f9fa75,raw_mf_00001,images/raw_mf_00001.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,D,medium,clear,standard,dim_fluorescence,center,junction,junction,lower,downstream,3
raw_q_1a131e5c19cb17,raw_mf_00001,images/raw_mf_00001.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,B,medium,clear,standard,dim_fluorescence,center,junction,junction,lower,downstream,3
raw_q_1a8e0136ce7252,raw_mf_00002,images/raw_mf_00002.png,bubble_position,Where is the bright air bubble located?,no visible bubble,sorting junction,upper outlet,lower outlet,D,medium,low_contrast,standard,standard,lower,lower,inlet,lower,upstream,0
raw_q_71a0c42d4c0efc,raw_mf_00002,images/raw_mf_00002.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,C,medium,low_contrast,standard,standard,lower,lower,inlet,lower,upstream,0
raw_q_fefa3a931ce23c,raw_mf_00002,images/raw_mf_00002.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,A,medium,low_contrast,standard,standard,lower,lower,inlet,lower,upstream,0
raw_q_40e2bab5fea79d,raw_mf_00003,images/raw_mf_00003.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,C,medium,low_contrast,compact,standard,upper,none,upper,upper,not_visible,2
raw_q_dc3ea6352c9035,raw_mf_00003,images/raw_mf_00003.png,clog_location,Which chip region contains the dark obstruction?,no clog,inlet channel,sorting junction,lower outlet,A,medium,low_contrast,compact,standard,upper,none,upper,upper,not_visible,2
raw_q_837780de2497bf,raw_mf_00003,images/raw_mf_00003.png,target_outlet,Where is the ringed target droplet located?,upper outlet,center outlet,lower outlet,inlet channel,A,medium,low_contrast,compact,standard,upper,none,upper,upper,not_visible,2
raw_q_e4a78cb98b3cfd,raw_mf_00004,images/raw_mf_00004.png,gate_state,Which electrode pair is active in red?,inlet electrodes,junction electrodes,upper branch electrodes,lower branch electrodes,B,medium,crowded,standard,dim_fluorescence,center,inlet,junction,upper,downstream,0
raw_q_29620647e04d05,raw_mf_00004,images/raw_mf_00004.png,fluorescent_count,How many bright green droplets are visible in the counting chamber?,0,1,2,3 or more,A,medium,crowded,standard,dim_fluorescence,center,inlet,junction,upper,downstream,0
